,Community Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,0.0,23.46896551724138,20.407582938388625,14.798319327731093,21.663636363636364,20.144981412639407,33.62043795620438,30.505494505494507,19.880434782608695,44.85,42.034615384615385
1,1.0,39.25157232704402,53.355,62.423645320197046,43.43805309734513,22.0622009569378,56.38139534883721,67.1592356687898,25.42910447761194,55.02283105022831,118.76612903225806
2,2.0,58.36363636363637,62.5503355704698,61.76449275362319,57.90816326530612,26.8062015503876,20.50936329588015,68.90555555555555,58.53157894736842,116.57911392405063,80.26119402985074
3,3.0,56.081447963800905,65.47590361445783,29.535971223021583,35.84905660377358,56.96675900277008,34.1140350877193,41.937869822485204,67.79545454545455,73.95973154362416,89.59292035398231
4,4.0,73.77835051546391,42.08552631578947,37.6497461928934,35.47222222222222,35.03260869565217,32.761538461538464,39.003533568904594,54.25454545454546,54.32673267326733,116.35078534031413
5,5.0,27.909574468085108,45.666666666666664,40.171270718232044,40.93782383419689,23.35348837209302,39.78974358974359,18.733624454148472,22.330396475770925,46.45333333333333,86.06122448979592
6,6.0,46.0520156046814,52.949056603773585,48.343257443082315,42.336774193548386,25.910798122065728,33.87222222222222,49.40348837209302,30.040313549832028,55.75482912332838,120.19339622641509
7,7.0,57.84295612009238,57.60725075528701,40.75221238938053,37.04753521126761,45.52158894645941,41.57564575645756,75.44986807387863,46.866129032258065,64.91794871794872,77.44504021447722
8,8.0,32.438669438669436,45.762759924385634,26.211187214611872,25.238473767885534,37.61147421931736,34.02566096423017,32.846049046321525,21.21153846153846,40.26118067978533,50.10817031070196
9,9.0,35.5,28.657894736842106,22.727272727272727,37.375,18.719298245614034,53.84615384615385,57.15686274509804,40.78,63.5,135.3921568627451
10,10.0,21.275862068965516,32.98198198198198,32.13953488372093,43.13461538461539,23.033898305084747,48.60504201680672,52.49593495934959,38.42465753424658,86.12,69.13207547169812
11,11.0,40.94186046511628,17.275862068965516,18.50980392156863,30.03030303030303,17.185567010309278,42.69892473118279,41.46590909090909,34.670731707317074,56.723404255319146,90.49295774647888
12,12.0,37.66216216216216,33.0377358490566,34.77272727272727,42.765957446808514,10.897058823529411,30.685185185185187,28.302325581395348,33.442622950819676,52.705882352941174,78.66666666666667
13,13.0,46.651785714285715,39.94,48.637362637362635,60.25242718446602,29.12676056338028,20.558333333333334,49.17829457364341,48.12244897959184,81.86111111111111,96.6
14,14.0,63.68372093023256,54.37777777777778,40.509803921568626,37.8031914893617,30.035573122529645,37.610328638497656,40.19724770642202,56.78968253968254,72.07142857142857,117.74634146341464
15,15.0,24.915,29.40366972477064,27.584415584415584,16.629441624365484,25.05829596412556,55.61181434599156,26.446351931330472,35.138888888888886,63.796875,95.0377358490566
16,16.0,29.598130841121495,41.2962962962963,37.666666666666664,26.629107981220656,26.422764227642276,63.59143968871595,22.88157894736842,35.721311475409834,42.285714285714285,92.12738853503184
17,17.0,31.239583333333332,33.122950819672134,36.990566037735846,17.324786324786324,27.21019108280255,34.1796875,36.1375,58.25,51.76315789473684,47.89908256880734
18,18.0,52.607142857142854,24.65,39.24390243902439,27.5,35.44186046511628,21.82857142857143,24.48936170212766,14.619047619047619,79.0,96.13333333333334
19,19.0,39.49145299145299,37.40163934426229,39.66801619433198,35.911877394636015,55.44329896907217,29.944237918215613,20.585889570552148,76.95731707317073,66.36904761904762,85.32067510548524
20,20.0,45.486486486486484,64.6046511627907,39.25454545454546,42.317460317460316,66.93333333333334,16.98076923076923,13.34920634920635,93.86363636363636,81.67441860465117,101.51851851851852
21,21.0,19.68148148148148,57.46601941747573,35.5,45.83448275862069,22.825842696629213,55.795180722891565,19.198795180722893,21.242236024844722,37.71875,73.85454545454546
22,22.0,37.08116883116883,49.286842105263155,42.71296296296296,43.74111675126903,23.358490566037737,31.77057356608479,36.75352112676056,34.04842105263158,54.22222222222222,181.18640350877192
23,23.0,26.233766233766232,38.47878787878788,78.96341463414635,35.05181347150259,68.54117647058824,25.393548387096775,36.52020202020202,52.64204545454545,42.78688524590164,93.55102040816327
24,24.0,40.52859350850077,26.243243243243242,53.8107202680067,38.88187702265372,37.75586206896552,42.126062322946176,54.874852420306965,28.368088467614534,29.336116910229645,100.1375
25,25.0,26.23219814241486,51.88709677419355,80.20426829268293,32.88562091503268,58.987915407854985,32.939189189189186,30.216901408450703,45.72241992882562,73.5569105691057,57.74752475247525
26,26.0,65.13513513513513,21.151515151515152,28.725490196078432,41.41891891891892,23.3,69.27272727272727,94.578125,26.674418604651162,86.0909090909091,45.06666666666667
27,27.0,52.492753623188406,8.8,39.63333333333333,42.121212121212125,23.71153846153846,80.0,62.696969696969695,29.32608695652174,43.743589743589745,45.54761904761905
28,28.0,26.507530120481928,16.348936170212767,18.27173913043478,17.600290697674417,45.068930041152264,57.21596724667349,39.57497781721384,41.640256959314776,45.911534154535275,66.61800818553888
29,29.0,54.013513513513516,57.94814814814815,24.516129032258064,20.6697247706422,42.44827586206897,39.46938775510204,60.96638655462185,31.931818181818183,105.32478632478633,47.44186046511628
30,30.0,35.57377049180328,70.22945205479452,18.967032967032967,15.209183673469388,39.78521126760563,34.329268292682926,60.327922077922075,42.549019607843135,159.32335329341316,61.25615763546798
31,31.0,61.88034188034188,26.209205020920503,32.825,15.089385474860336,36.15447154471545,56.19927536231884,40.54895104895105,52.05703422053232,44.913978494623656,42.794444444444444
32,32.0,20.34285714285714,16.833170731707316,29.456953642384107,25.026390197926485,26.060367454068242,22.495905368516834,21.703433162892622,33.868296529968454,35.794520547945204,64.37907375643225
33,33.0,33.256281407035175,21.093023255813954,19.43103448275862,43.019867549668874,34.642857142857146,24.383928571428573,20.929133858267715,31.11764705882353,52.5,69.16666666666667
